Name,Year,Genre,Publisher,Sales North America,Sales Europe,Sales Japan,Sales other regions,Sales worldwide,Platform,Console Developer
Harvest Moon DS: Island of Happiness,2007,Simulation,Rising Star Games,0.44,0.01,0.25,0.04,0.74,Nintendo DS,Nintendo
Star Ocean: The Last Hope International,2010,Role-Playing,Square Enix,0.28,0.16,0.22,0.08,0.73,PlayStation 3,Sony
The Sims 2: Castaway,2007,Simulation,Electronic Arts,0.63,0.05,0.0,0.06,0.73,Nintendo DS,Nintendo
FIFA: Road to World Cup 98,1997,Sports,Electronic Arts,0.14,0.09,0.46,0.05,0.73,PlayStation,Sony
Dragon Ball Z: Ultime Menace,1993,Fighting,Namco Bandai Games,0.0,0.0,0.73,0.0,0.73,Super Nintendo Entertainment System,Nintendo
Classic NES Series: Donkey Kong,2004,Platform,Nintendo,0.4,0.15,0.17,0.01,0.73,Game Boy Advance,Nintendo
Call of Duty: Ghosts,2013,Shooter,Activision,0.23,0.41,0.0,0.09,0.73,Personal Computer,Various
Yoshi,1991,Puzzle,Nintendo,0.0,0.0,0.73,0.0,0.73,Game Boy,Nintendo
Mortal Kombat 4,1998,Fighting,GT Interactive,0.55,0.17,0.0,0.01,0.73,Nintendo 64,Nintendo
F1 2011,2011,Racing,Codemasters,0.11,0.51,0.01,0.09,0.73,Xbox 360,Microsoft
Madden NFL 10,2009,Sports,Electronic Arts,0.63,0.04,0.0,0.06,0.73,Nintendo Wii,Nintendo
Kirby: Canvas Curse,2005,Platform,Nintendo,0.37,0.0,0.32,0.04,0.73,Nintendo DS,Nintendo
Croc 2,1999,Platform,Fox Interactive,0.41,0.28,0.0,0.05,0.73,PlayStation,Sony
Practise English!,2007,Misc,Nintendo,0.0,0.0,0.73,0.0,0.73,Nintendo DS,Nintendo
Oddworld: Munch's Oddysee,2001,Platform,Atari,0.54,0.16,0.0,0.03,0.73,Xbox,Microsoft
Berzerk,1981,Shooter,Atari,0.68,0.04,0.0,0.01,0.73,Atari 2600,Atari
NHL 11,2010,Sports,Electronic Arts,0.61,0.07,0.0,0.05,0.73,Xbox 360,Microsoft
Dragon Age: Inquisition,2014,Role-Playing,Electronic Arts,0.32,0.34,0.0,0.07,0.73,Personal Computer,Various
iCarly,2009,Adventure,Activision,0.67,0.01,0.0,0.05,0.73,Nintendo DS,Nintendo
DiRT 3,2011,Racing,Codemasters,0.23,0.41,0.01,0.08,0.73,Xbox 360,Microsoft
NCAA Football 07,2006,Sports,Electronic Arts,0.67,0.0,0.0,0.06,0.73,Xbox 360,Microsoft
Just Dance Wii,2011,Misc,Nintendo,0.0,0.0,0.73,0.0,0.73,Nintendo Wii,Nintendo
Full Spectrum Warrior,2004,Strategy,THQ,0.54,0.16,0.0,0.03,0.73,Xbox,Microsoft
Katamari Damacy,2004,Puzzle,Namco Bandai Games,0.47,0.02,0.17,0.08,0.73,PlayStation 2,Sony
Beyblade VForce: Ultimate Blader Jam,2003,Action,Atari,0.52,0.19,0.0,0.01,0.73,Game Boy Advance,Nintendo
Ratchet & Clank Collection,2012,Action,Sony Computer Entertainment,0.47,0.14,0.02,0.09,0.73,PlayStation 3,Sony
Avatar: The Game,2009,Action,Ubisoft,0.33,0.32,0.0,0.08,0.73,Nintendo Wii,Nintendo
Shaun Palmer's Pro Snowboarder,2001,Sports,Codemasters,0.36,0.28,0.0,0.09,0.73,PlayStation 2,Sony
MX vs. ATV Reflex,2009,Racing,THQ,0.52,0.15,0.0,0.06,0.73,Xbox 360,Microsoft
Imagine: Interior Designer,2008,Simulation,Ubisoft,0.34,0.31,0.0,0.08,0.73,Nintendo DS,Nintendo
SSX,2012,Sports,Electronic Arts,0.38,0.28,0.0,0.06,0.72,Xbox 360,Microsoft
Style Savvy: Trendsetters,2012,Simulation,Nintendo,0.16,0.02,0.53,0.01,0.72,Nintendo 3DS,Nintendo
James Bond 007: Agent Under Fire,2002,Shooter,Electronic Arts,0.56,0.15,0.0,0.02,0.72,GameCube,Nintendo
XCOM: Enemy Unknown,2012,Strategy,Take-Two Interactive,0.26,0.36,0.0,0.1,0.72,Personal Computer,Various
Rabbids Go Home,2009,Platform,Ubisoft,0.35,0.3,0.0,0.07,0.72,Nintendo DS,Nintendo
Star Wars Episode III: Revenge of the Sith,2005,Action,Ubisoft,0.52,0.19,0.0,0.01,0.72,Game Boy Advance,Nintendo
Ultimate Spider-Man,2005,Action,Activision,0.6,0.02,0.0,0.1,0.72,PlayStation 2,Sony
FIFA Soccer 13,2012,Action,Electronic Arts,0.19,0.46,0.0,0.08,0.72,Nintendo Wii,Nintendo
God Eater,2010,Action,Unknown,0.0,0.0,0.72,0.0,0.72,PlayStation Portable,Sony
Final Fantasy XIV: A Realm Reborn,2014,Role-Playing,Square Enix,0.32,0.22,0.08,0.1,0.72,PlayStation 4,Sony
SD Gundam G Generation,1998,Strategy,Namco Bandai Games,0.0,0.0,0.67,0.05,0.72,PlayStation,Sony
Area 51,1996,Shooter,GT Interactive,0.4,0.27,0.0,0.05,0.72,PlayStation,Sony
NBA Live 08,2007,Sports,Electronic Arts,0.59,0.02,0.01,0.1,0.72,PlayStation 2,Sony
Dead to Rights,2002,Shooter,Electronic Arts,0.53,0.17,0.0,0.03,0.72,Xbox,Microsoft
Tiger Woods PGA Tour 07,2006,Sports,Electronic Arts,0.6,0.02,0.0,0.1,0.72,PlayStation 2,Sony
Test Drive 6,1999,Racing,Atari,0.4,0.27,0.0,0.05,0.72,PlayStation,Sony
Kouchuu Ouja Mushi King,2005,Action,Sega,0.0,0.0,0.7,0.02,0.72,Game Boy Advance,Nintendo
Major League Baseball 2K7,2007,Sports,Spike,0.67,0.0,0.0,0.05,0.72,Xbox 360,Microsoft
X-Men: Mutant Academy 2,2001,Fighting,Activision,0.4,0.27,0.0,0.05,0.72,PlayStation,Sony
Terraria,2013,Action,505 Games,0.35,0.31,0.0,0.06,0.72,Xbox 360,Microsoft
Jampack Winter 2001,2001,Misc,Sony Computer Entertainment,0.35,0.28,0.0,0.09,0.72,PlayStation 2,Sony
Kangaroo,1982,Platform,Atari,0.67,0.04,0.0,0.01,0.72,Atari 2600,Atari
James Bond 007: Blood Stone,2010,Shooter,Activision,0.18,0.38,0.02,0.13,0.72,PlayStation 3,Sony
Ben 10: Protector of Earth,2007,Action,D3Publisher,0.23,0.31,0.0,0.18,0.72,PlayStation Portable,Sony
Skate,2007,Sports,Electronic Arts,0.62,0.04,0.0,0.06,0.72,Xbox 360,Microsoft
Super Monkey Ball Jr.,2002,Puzzle,Atari,0.51,0.19,0.0,0.01,0.72,Game Boy Advance,Nintendo
Driver: San Francisco,2011,Racing,Ubisoft,0.25,0.39,0.0,0.08,0.72,Xbox 360,Microsoft
MLB 09: The Show,2009,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.05,0.72,PlayStation 3,Sony
Monster Hunter Tri,2012,Role-Playing,Nintendo,0.26,0.19,0.22,0.04,0.72,Nintendo Wii U,Nintendo
Mobile Suit Gundam: Encounters in Space,2003,Simulation,Namco Bandai Games,0.05,0.04,0.61,0.01,0.72,PlayStation 2,Sony
Catherine,2011,Adventure,Deep Silver,0.3,0.15,0.2,0.07,0.72,PlayStation 3,Sony
Fear Effect,1998,Action,Eidos Interactive,0.4,0.27,0.0,0.05,0.72,PlayStation,Sony
FIFA Soccer 11,2010,Sports,Electronic Arts,0.13,0.5,0.0,0.09,0.72,Nintendo DS,Nintendo
Crysis,2007,Shooter,Electronic Arts,0.0,0.69,0.0,0.03,0.72,Personal Computer,Various
Battlefield: Bad Company 2,2010,Shooter,Electronic Arts,0.19,0.53,0.0,0.0,0.71,Personal Computer,Various
The Lord of the Rings: The Two Towers,2002,Action,Electronic Arts,0.45,0.24,0.0,0.03,0.71,Xbox,Microsoft
Madden NFL 2003,2002,Sports,Electronic Arts,0.67,0.02,0.0,0.03,0.71,Xbox,Microsoft
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,2007,Role-Playing,Square Enix,0.18,0.01,0.5,0.02,0.71,Nintendo Wii,Nintendo
MLB 13: The Show,2013,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.05,0.71,PlayStation 3,Sony
Omerta: City of Gangsters,2011,Simulation,Konami Digital Entertainment,0.42,0.23,0.0,0.06,0.71,Xbox 360,Microsoft
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,2015,Action,Square Enix,0.16,0.13,0.37,0.06,0.71,PlayStation 4,Sony
Virtua Fighter 4: Evolution,2003,Fighting,Sega,0.35,0.27,0.0,0.09,0.71,PlayStation 2,Sony
Top Spin 4,2011,Sports,Take-Two Interactive,0.17,0.4,0.0,0.14,0.71,PlayStation 3,Sony
Resident Evil: Survivor,2000,Action,Eidos Interactive,0.23,0.15,0.29,0.05,0.71,PlayStation,Sony
Dynasty Warriors 6,2007,Action,Tecmo Koei,0.18,0.08,0.41,0.04,0.71,PlayStation 3,Sony
Super Trucks Racing,2002,Racing,Jester Interactive,0.35,0.27,0.0,0.09,0.71,PlayStation 2,Sony
Persona Q: Shadow of the Labyrinth,2014,Role-Playing,Nippon Ichi Software,0.33,0.07,0.27,0.04,0.71,Nintendo 3DS,Nintendo
Madden NFL 08,2007,Sports,Electronic Arts,0.6,0.04,0.0,0.07,0.71,PlayStation Portable,Sony
Godzilla: Destroy All Monsters Melee,2002,Fighting,Atari,0.55,0.14,0.0,0.02,0.71,GameCube,Nintendo
Jeremy McGrath Supercross 2000,2000,Racing,Acclaim Entertainment,0.4,0.27,0.0,0.05,0.71,PlayStation,Sony
Conker: Live And Reloaded,2005,Adventure,Microsoft Game Studios,0.49,0.2,0.0,0.02,0.71,Xbox,Microsoft
Silent Hill 3,2003,Action,Konami Digital Entertainment,0.35,0.27,0.0,0.09,0.71,PlayStation 2,Sony
Madden NFL 09,2008,Sports,Electronic Arts,0.65,0.0,0.0,0.06,0.71,PlayStation Portable,Sony
Final Fantasy X/X-2 HD Remaster,2015,Role-Playing,Square Enix,0.29,0.25,0.06,0.11,0.71,PlayStation 4,Sony
Yu-Gi-Oh! The Falsebound Kingdom,2002,Strategy,Konami Digital Entertainment,0.49,0.13,0.07,0.02,0.71,GameCube,Nintendo
LEGO Rock Band,2009,Misc,Warner Bros. Interactive Entertainment,0.42,0.22,0.0,0.07,0.71,Nintendo Wii,Nintendo
MLB 10: The Show,2010,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.05,0.71,PlayStation 3,Sony
Spyro: Enter the Dragonfly,2002,Platform,Universal Interactive,0.55,0.14,0.0,0.02,0.71,GameCube,Nintendo
Scooby-Doo 2: Monsters Unleashed,2004,Action,THQ,0.51,0.19,0.0,0.01,0.71,Game Boy Advance,Nintendo
Power Rangers: Dino Thunder,2004,Action,THQ,0.35,0.27,0.0,0.09,0.71,PlayStation 2,Sony
Rhythm Heaven: The Best+,2015,Misc,Nintendo,0.0,0.0,0.71,0.0,0.71,Nintendo 3DS,Nintendo
LEGO Racers,1999,Racing,LEGO Media,0.51,0.18,0.0,0.01,0.71,Nintendo 64,Nintendo
WWF Attitude,1999,Fighting,Acclaim Entertainment,0.57,0.13,0.0,0.01,0.71,Nintendo 64,Nintendo
Blast Corps,1997,Action,Nintendo,0.39,0.09,0.17,0.06,0.71,Nintendo 64,Nintendo
LEGO Harry Potter: Years 1-4,2010,Action,Warner Bros. Interactive Entertainment,0.14,0.37,0.0,0.19,0.71,PlayStation Portable,Sony
Tactics Ogre: Let Us Cling Together,1995,Role-Playing,Quest,0.0,0.0,0.71,0.0,0.71,Super Nintendo Entertainment System,Nintendo
"WarioWare, Inc.: Mega Party Game$",2003,Puzzle,Nintendo,0.2,0.05,0.44,0.02,0.71,GameCube,Nintendo
Football Manager 2014,2013,Sports,Sega,0.0,0.6,0.0,0.1,0.71,Personal Computer,Various
Battle Arena Toshinden 2,1995,Fighting,Sony Computer Entertainment,0.15,0.1,0.41,0.05,0.71,PlayStation,Sony
WWE SmackDown vs. Raw 2011,2010,Fighting,THQ,0.22,0.31,0.0,0.17,0.71,PlayStation Portable,Sony
Jeopardy!,1997,Misc,Hasbro Interactive,0.39,0.27,0.0,0.05,0.71,PlayStation,Sony
South Park,1998,Shooter,Acclaim Entertainment,0.39,0.27,0.0,0.05,0.71,PlayStation,Sony
Metal Gear Solid V: The Phantom Pain,2015,Action,Konami Digital Entertainment,0.37,0.26,0.01,0.06,0.71,Xbox One,Microsoft
Two Worlds,2007,Role-Playing,SouthPeak Games,0.41,0.23,0.0,0.07,0.71,Xbox 360,Microsoft
Doom 3: Resurrection of Evil,2005,Shooter,Activision,0.53,0.15,0.0,0.03,0.71,Xbox,Microsoft
NCAA Football 09,2008,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.71,Xbox 360,Microsoft
NBA Live 09,2008,Sports,Electronic Arts,0.5,0.14,0.0,0.07,0.71,Xbox 360,Microsoft
Ratchet & Clank: Into the Nexus,2013,Shooter,Sony Computer Entertainment,0.3,0.29,0.0,0.11,0.71,PlayStation 3,Sony
Spider-Man 2,2005,Action,Activision,0.35,0.21,0.0,0.14,0.71,PlayStation Portable,Sony
2014 FIFA World Cup Brazil,2014,Sports,Electronic Arts,0.15,0.39,0.01,0.16,0.71,PlayStation 3,Sony
London 2012: The Official Video Game of the Olympic Games,2012,Sports,Sega,0.06,0.5,0.0,0.15,0.7,PlayStation 3,Sony
NHL 12,2011,Sports,Electronic Arts,0.55,0.1,0.0,0.05,0.7,Xbox 360,Microsoft
Tony Hawk's Underground,2003,Sports,Activision,0.54,0.14,0.0,0.02,0.7,GameCube,Nintendo
Infinite Undiscovery,2008,Role-Playing,Square Enix,0.34,0.18,0.12,0.06,0.7,Xbox 360,Microsoft
Super Bomberman 3,1994,Puzzle,Hudson Soft,0.0,0.0,0.7,0.0,0.7,Super Nintendo Entertainment System,Nintendo
Command & Conquer: Red Alert Retaliation,1998,Strategy,Virgin Interactive,0.39,0.27,0.0,0.05,0.7,PlayStation,Sony
The Sims 2: Apartment Pets,2008,Simulation,Electronic Arts,0.32,0.31,0.0,0.07,0.7,Nintendo DS,Nintendo
Star Wars: Obi-Wan,2001,Action,Activision,0.52,0.16,0.0,0.02,0.7,Xbox,Microsoft
NCAA Football 08,2007,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.7,Xbox 360,Microsoft
Kill.Switch,2003,Shooter,Sony Computer Entertainment,0.34,0.27,0.0,0.09,0.7,PlayStation 2,Sony
Lalaloopsy,2011,Simulation,Activision,0.54,0.1,0.0,0.06,0.7,Nintendo DS,Nintendo
Madden NFL 2005,2004,Sports,Electronic Arts,0.54,0.14,0.0,0.02,0.7,GameCube,Nintendo
F-14 Tomcat,2001,Action,Majesco Entertainment,0.5,0.19,0.0,0.01,0.7,Game Boy Advance,Nintendo
SplashDown,2001,Racing,Atari,0.34,0.27,0.0,0.09,0.7,PlayStation 2,Sony
NCAA Football 98,1997,Sports,Electronic Arts,0.39,0.27,0.0,0.05,0.7,PlayStation,Sony
Jade Empire,2005,Role-Playing,Microsoft Game Studios,0.48,0.19,0.0,0.03,0.7,Xbox,Microsoft
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",2009,Shooter,Activision,0.28,0.3,0.0,0.12,0.7,PlayStation 3,Sony
The Sims 3,2010,Simulation,Electronic Arts,0.39,0.25,0.0,0.06,0.7,Nintendo DS,Nintendo
Skylanders: Trap Team,2014,Action,Activision,0.39,0.25,0.0,0.06,0.7,Nintendo Wii U,Nintendo
Prince of Persia: The Forgotten Sands,2010,Action,Ubisoft,0.19,0.36,0.01,0.13,0.7,PlayStation 3,Sony
Chocobo's Dungeon 2,1998,Role-Playing,SquareSoft,0.04,0.03,0.58,0.05,0.7,PlayStation,Sony
Advance Wars,2001,Strategy,Nintendo,0.5,0.19,0.0,0.01,0.7,Game Boy Advance,Nintendo
Hannah Montana: The Movie,2009,Adventure,Disney Interactive Studios,0.38,0.25,0.0,0.07,0.7,Nintendo DS,Nintendo
World of Zoo,2009,Simulation,THQ,0.43,0.2,0.0,0.06,0.7,Nintendo DS,Nintendo
Ape Escape: On the Loose,2005,Platform,Sony Computer Entertainment,0.52,0.01,0.12,0.05,0.7,PlayStation Portable,Sony
NASCAR 2001,2000,Racing,Electronic Arts,0.34,0.27,0.0,0.09,0.7,PlayStation 2,Sony
IL-2 Sturmovik: Birds of Prey,2009,Simulation,505 Games,0.34,0.26,0.0,0.1,0.7,PlayStation 3,Sony
Book of Spells,2012,Action,Sony Computer Entertainment,0.13,0.4,0.0,0.16,0.7,PlayStation 3,Sony
NCAA Football 2001,2000,Sports,Electronic Arts,0.39,0.26,0.0,0.05,0.7,PlayStation,Sony
Mafia,2004,Action,Illusion Softworks,0.34,0.27,0.0,0.09,0.7,PlayStation 2,Sony
Mobile Suit Gundam: Journey to Jaburo,2000,Simulation,Namco Bandai Games,0.16,0.13,0.36,0.04,0.7,PlayStation 2,Sony
Metal Gear Solid V: The Phantom Pain,2015,Action,Konami Digital Entertainment,0.21,0.18,0.22,0.08,0.7,PlayStation 3,Sony
TimeSplitters 2,2002,Shooter,Eidos Interactive,0.34,0.27,0.0,0.09,0.7,PlayStation 2,Sony
MotionSports,2010,Sports,Ubisoft,0.38,0.26,0.0,0.06,0.7,Xbox 360,Microsoft
MLB 08: The Show,2008,Sports,Sony Computer Entertainment,0.64,0.0,0.0,0.05,0.7,PlayStation 3,Sony
Classic NES Series: Zelda II: The Adventure of Link,2004,Adventure,Nintendo,0.37,0.14,0.17,0.01,0.7,Game Boy Advance,Nintendo
Fire Emblem: Monsh? no Nazo,1994,Role-Playing,Nintendo,0.0,0.0,0.7,0.0,0.7,Super Nintendo Entertainment System,Nintendo
Disney's Chicken Little,2005,Platform,Disney Interactive Studios,0.5,0.18,0.0,0.01,0.7,Game Boy Advance,Nintendo
King Kong,1981,Action,Tigervision,0.65,0.04,0.0,0.01,0.69,Atari 2600,Atari
WWE 2K15,2014,Sports,Take-Two Interactive,0.38,0.26,0.0,0.06,0.69,Xbox 360,Microsoft
The LEGO Movie Videogame,2014,Action,Warner Bros. Interactive Entertainment,0.28,0.31,0.05,0.05,0.69,Nintendo 3DS,Nintendo
X-Men Origins: Wolverine - Uncaged Edition,2009,Action,Activision,0.42,0.21,0.0,0.06,0.69,Xbox 360,Microsoft
Metal Gear Solid: Portable Ops Plus,2007,Action,Konami Digital Entertainment,0.26,0.01,0.26,0.17,0.69,PlayStation Portable,Sony
Disney Tangled,2010,Action,Disney Interactive Studios,0.47,0.17,0.0,0.05,0.69,Nintendo Wii,Nintendo
Shrek the Third,2007,Action,Activision,0.54,0.1,0.0,0.06,0.69,Xbox 360,Microsoft
Moto Racer 2,1997,Racing,Electronic Arts,0.39,0.26,0.0,0.05,0.69,PlayStation,Sony
Halo 2 Multiplayer Map Pack,2005,Shooter,Microsoft Game Studios,0.54,0.13,0.0,0.02,0.69,Xbox,Microsoft
Minecraft: Story Mode,2015,Adventure,Mojang,0.25,0.33,0.0,0.11,0.69,PlayStation 3,Sony
Mortal Kombat: Shaolin Monks,2005,Action,Midway Games,0.58,0.02,0.0,0.09,0.69,PlayStation 2,Sony
MX vs. ATV Unleashed: On the Edge,2006,Racing,THQ,0.64,0.0,0.0,0.05,0.69,PlayStation Portable,Sony
Skylanders: Trap Team,2014,Action,Activision,0.24,0.33,0.0,0.12,0.69,PlayStation 3,Sony
Mario Pinball Land,2004,Misc,Nintendo,0.5,0.18,0.0,0.01,0.69,Game Boy Advance,Nintendo
Mappy,1984,Platform,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69,Nintendo Entertainment System,Nintendo
J-League Soccer: Prime Goal,1993,Sports,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69,Super Nintendo Entertainment System,Nintendo
Dragon Ball Z: Budokai,2003,Fighting,Atari,0.53,0.14,0.0,0.02,0.69,GameCube,Nintendo
NFL Xtreme,1998,Sports,Sony Computer Entertainment,0.38,0.26,0.0,0.05,0.69,PlayStation,Sony
The Sly Collection,2010,Platform,Sony Computer Entertainment,0.52,0.09,0.01,0.07,0.69,PlayStation 3,Sony
One Piece: Pirate Warriors 2,2013,Action,Namco Bandai Games,0.0,0.2,0.42,0.07,0.69,PlayStation 3,Sony
Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,0.22,0.38,0.0,0.1,0.69,Personal Computer,Various
Harry Potter and the Chamber of Secrets,2002,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,GameCube,Nintendo
Need for Speed: Shift 2 Unleashed,2011,Racing,Electronic Arts,0.2,0.36,0.0,0.13,0.69,PlayStation 3,Sony
The Lord of the Rings: The Return of the King,2003,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,GameCube,Nintendo
Nintendo Presents: New Style Boutique 2 - Fashion Forward,2015,Misc,Nintendo,0.01,0.61,0.02,0.04,0.69,Nintendo 3DS,Nintendo
MX vs. ATV Untamed,2007,Racing,THQ,0.55,0.08,0.0,0.06,0.69,Xbox 360,Microsoft
The Last Remnant,2008,Role-Playing,Square Enix,0.25,0.2,0.18,0.06,0.69,Xbox 360,Microsoft
Frozen: Olaf's Quest,2013,Platform,Disney Interactive Studios,0.28,0.35,0.0,0.06,0.69,Nintendo DS,Nintendo
The Sims: Medieval,2011,Simulation,Electronic Arts,0.27,0.32,0.0,0.1,0.69,Personal Computer,Various
Baldur's Gate: Dark Alliance II,2004,Role-Playing,Interplay,0.34,0.26,0.0,0.09,0.68,PlayStation 2,Sony
Shark Tale,2004,Action,Activision,0.49,0.18,0.0,0.01,0.68,Game Boy Advance,Nintendo
Plants vs. Zombies: Garden Warfare,2014,Shooter,Electronic Arts,0.39,0.23,0.0,0.06,0.68,Xbox One,Microsoft
Kirby's Dream Collection: Special Edition,2012,Action,Nintendo,0.34,0.0,0.33,0.02,0.68,Nintendo Wii,Nintendo
Bakugan: Battle Brawlers,2009,Action,Activision,0.6,0.03,0.0,0.05,0.68,Nintendo Wii,Nintendo
Star Wars: Masters of Teras Kasi,1997,Action,LucasArts,0.38,0.26,0.0,0.04,0.68,PlayStation,Sony
The Last Story,2011,Role-Playing,Nintendo,0.32,0.13,0.18,0.04,0.68,Nintendo Wii,Nintendo
NBA Street Vol. 2,2003,Sports,Electronic Arts,0.62,0.04,0.0,0.02,0.68,Xbox,Microsoft
Iron Man,2008,Action,Sega,0.32,0.25,0.0,0.11,0.68,PlayStation 3,Sony
Disney Infinity 3.0,2015,Action,Disney Interactive Studios,0.21,0.36,0.0,0.11,0.68,PlayStation 4,Sony
Spider-Man 3,2007,Platform,Activision,0.26,0.29,0.02,0.12,0.68,PlayStation 3,Sony
NCAA Football 2005,2004,Sports,Electronic Arts,0.63,0.02,0.0,0.03,0.68,Xbox,Microsoft
Mortal Kombat Mythologies: Sub-Zero,1997,Fighting,GT Interactive,0.38,0.26,0.0,0.04,0.68,PlayStation,Sony
Rayman Legends,2013,Platform,Ubisoft,0.26,0.33,0.03,0.06,0.68,Nintendo Wii U,Nintendo
Naruto: Clash of Ninja,2003,Fighting,Tomy Corporation,0.53,0.14,0.0,0.02,0.68,GameCube,Nintendo
Prince of Persia: The Two Thrones,2005,Action,Ubisoft,0.57,0.02,0.0,0.09,0.68,PlayStation 2,Sony
Hot Shots Golf: Open Tee 2,2007,Sports,Sony Computer Entertainment,0.21,0.11,0.28,0.08,0.68,PlayStation Portable,Sony
Metro: Last Light,2014,Action,Deep Silver,0.22,0.3,0.04,0.12,0.68,PlayStation 4,Sony
Fossil Fighters: Champions,2010,Role-Playing,Nintendo,0.32,0.0,0.34,0.02,0.68,Nintendo DS,Nintendo
Mercenaries: Playground of Destruction,2005,Action,LucasArts,0.54,0.11,0.0,0.03,0.68,Xbox,Microsoft
Sniper Elite 3,2014,Shooter,505 Games,0.22,0.33,0.0,0.13,0.68,PlayStation 4,Sony
Doom (2016),2016,Shooter,Bethesda Softworks,0.39,0.23,0.0,0.06,0.68,Xbox One,Microsoft
Bushido Blade 2,1998,Fighting,SquareSoft,0.25,0.17,0.22,0.04,0.68,PlayStation,Sony
Suikoden II,1998,Role-Playing,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.68,PlayStation,Sony
Need for Speed (2015),2015,Racing,Electronic Arts,0.3,0.33,0.0,0.06,0.68,Xbox One,Microsoft
Cars: Mater-National Championship,2007,Racing,THQ,0.63,0.01,0.0,0.05,0.68,Nintendo DS,Nintendo
FIFA Soccer 06,2005,Sports,Electronic Arts,0.29,0.38,0.0,0.01,0.68,Xbox,Microsoft
Hidden Objects: Mystery Stories,2009,Adventure,GSP,0.19,0.43,0.0,0.05,0.68,Nintendo DS,Nintendo
Red Steel,2006,Shooter,Ubisoft,0.55,0.04,0.04,0.05,0.68,Nintendo Wii,Nintendo
Fight Night 2004,2004,Fighting,Electronic Arts,0.51,0.15,0.0,0.02,0.68,Xbox,Microsoft
Tourist Trophy: The Real Riding Simulator,2006,Racing,Sony Computer Entertainment,0.28,0.22,0.11,0.07,0.68,PlayStation 2,Sony
Mass Effect,2008,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.09,0.68,Personal Computer,Various
.hack//Mutation Part 2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,PlayStation 2,Sony
Country Dance,2011,Misc,Funbox Media,0.59,0.04,0.0,0.04,0.68,Nintendo Wii,Nintendo
Turok,2008,Action,Touchstone,0.35,0.22,0.01,0.1,0.68,PlayStation 3,Sony
Midway Arcade Treasures 2,2004,Misc,Midway Games,0.33,0.26,0.0,0.09,0.68,PlayStation 2,Sony
100 Classic Books,2008,Misc,Nintendo,0.13,0.52,0.0,0.02,0.67,Nintendo DS,Nintendo
Unreal Tournament III,2007,Shooter,Midway Games,0.33,0.24,0.0,0.11,0.67,PlayStation 3,Sony
Final Fantasy Crystal Chronicles: Ring of Fates,2007,Role-Playing,Square Enix,0.22,0.01,0.42,0.02,0.67,Nintendo DS,Nintendo
Return to Castle Wolfenstein: Tides of War,2003,Shooter,Activision,0.49,0.16,0.0,0.02,0.67,Xbox,Microsoft
Need for Speed Rivals,2013,Racing,Electronic Arts,0.45,0.17,0.0,0.05,0.67,Xbox One,Microsoft
Lollipop Chainsaw,2012,Action,Warner Bros. Interactive Entertainment,0.26,0.21,0.11,0.09,0.67,PlayStation 3,Sony
The Darkness,2007,Shooter,Take-Two Interactive,0.2,0.34,0.0,0.13,0.67,PlayStation 3,Sony
Street Sk8er,1998,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.67,PlayStation,Sony
Club Penguin: Elite Penguin Force - Herbert's Revenge,2010,Adventure,Disney Interactive Studios,0.4,0.22,0.0,0.06,0.67,Nintendo DS,Nintendo
Contra: Legacy of War,1996,Shooter,Konami Digital Entertainment,0.37,0.25,0.0,0.04,0.67,PlayStation,Sony
Blazing Angels: Squadrons of WWII,2006,Simulation,Ubisoft,0.35,0.22,0.0,0.1,0.67,PlayStation 3,Sony
Fight Night Round 2004,2004,Fighting,Electronic Arts,0.46,0.18,0.0,0.03,0.67,Xbox,Microsoft
Wolfenstein: The New Order,2014,Shooter,Bethesda Softworks,0.33,0.28,0.0,0.06,0.67,Xbox One,Microsoft
The Biggest Loser: Challenge,2010,Sports,THQ,0.49,0.13,0.0,0.05,0.67,Nintendo Wii,Nintendo
Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,2006,Misc,Rocket Company,0.0,0.0,0.67,0.0,0.67,Nintendo DS,Nintendo
Spice World,1998,Action,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.67,PlayStation,Sony
Star Wars: Republic Commando,2005,Shooter,Activision,0.48,0.17,0.0,0.02,0.67,Xbox,Microsoft
Armored Core 3,2002,Simulation,Metro 3D,0.22,0.17,0.23,0.06,0.67,PlayStation 2,Sony
